1;1;{"question":"Где проходил первый чемпионат мира по футболу?", "rightAnswer":"Уругвай", wrongAnswer: ["Аргентина","Германия","Бразилия"], "answerText":"Первый чемпионат мира по футболу состоялся в Уругвае.", "wrongAnswerPatterns":["* ($quizArgentina/$quizGermany/$quizBrazil/(не/или) [в] $quizUruguay) *"], "rightAnswerPatterns":["* $quizUruguay *"]}
2;2;{"question":"Какая страна стала первым чемпионом мира по футболу?", "rightAnswer":"Уругвай", wrongAnswer: ["Италия","Чили","Бразилия"], "answerText":"Первой страной, ставшей чемпионом мира по футболу, является Уругвай.", "wrongAnswerPatterns":["* ($quizItaly/чили*/$quizBrazil/(не/или) $quizUruguay) *"], "rightAnswerPatterns":["* $quizUruguay *"]}
3;3;{"question":"Сборная какой страны стала вечным обладателем кубка Жуля Риме?", "rightAnswer":"Бразилия", wrongAnswer: ["Уругвай","Германия","Англия"], "answerText":"Вечным обладателем кубка Жуля Риме является сборная Бразилии.", "wrongAnswerPatterns":["* ($quizUruguay/$quizGermany/$quizEngland/(не/или) $quizBrazil) *"], "rightAnswerPatterns":["* $quizBrazil *"]}
4;4;{"question":"Сколько раз Бразилия становилась чемпионом мира по футболу?", "rightAnswer":"5 раз", wrongAnswer: ["6 раз","3 раза","4 раза"], "answerText":"Сборная Бразилии пять раз завоевывала чемпионский титул.", "wrongAnswerPatterns":["* (6/3/4/шесть/три/четыре/(не/или) (пят*/5) [раз]) *"], "rightAnswerPatterns":["* (пят*/5) [раз*] *"], "answerIsNumber":"5"}
5;5;{"question":"Сборная какой страны участвовала во всех чемпионатах мира по футболу?", "rightAnswer":"Бразилия", wrongAnswer: ["Аргентина","Италия","Уругвай"], "answerText":"Бразилия — единственная сборная, участвовавшая во всех чемпионатах мира.", "wrongAnswerPatterns":[" * ($quizArgentina/$quizItaly/$quizUruguay/(не/или) $quizBrazil) * "], "rightAnswerPatterns":["* $quizBrazil *"]}
6;6;{"question":"Какой игрок трижды выигрывал чемпионат мира по футболу?", "rightAnswer":"Пеле", wrongAnswer: ["Марио Загалло","Франц Беккенбауэр","Диего Марадона"], "answerText":"Пеле – единственный трехкратный чемпион мира по футболу в качестве игрока.", "wrongAnswerPatterns":["* (Марио [Загалло]/[Марио] Загалло | Франц [Беккенбауэр]/[Франц] Беккенбауэр | Диего [Марадона]/[Диего] Марадона/(не/или) пеле) * "], "rightAnswerPatterns":["* пеле *"]}
7;7;{"question":"Сборная какой страны стала первым двукратным чемпионом мира по футболу?", "rightAnswer":"Италия", wrongAnswer: ["Уругвай","Бразилия","Испания"], "answerText":"Италия стала первой страной, дважды победившей в чемпионате мира по футболу.", "wrongAnswerPatterns":["* ($quizUruguay/$quizBrazil/испан*/(не/или) $quizItaly) *"], "rightAnswerPatterns":["* $quizItaly *"]}
8;8;{"question":"Какая страна выиграла чемпионат мира по футболу в 1998 году?", "rightAnswer":"Франция", wrongAnswer: ["Италия","Бразилия","Испания"], "answerText":"Чемпионат мира по футболу 1998 года выиграла Франция.", "wrongAnswerPatterns":["* ($quizItaly/$quizBrazil/испан*/(не/или) франц*) *"], "rightAnswerPatterns":["* франц* *"]}
9;9;{"question":"Кто стал лучшим бомбардиром чемпионата мира по футболу 1970 года?", "rightAnswer":"Герд Мюллер", wrongAnswer: ["Жаирзиньо","Теофило Кубильяс","Пеле"], "answerText":"Герд Мюллер стал лучшим бомбардиром, забив 10 голов.", "wrongAnswerPatterns":["* (Жаирзиньо/[Теофило] Кубильяс/Теофило [Кубильяс]/Пеле/(не/или) ([герд] (мюллер/мюлер)*/герд)) *"], "rightAnswerPatterns":["* ([герд] (мюллер/мюлер)*/герд) *"]}
10;10;{"question":"Сборная какой страны забила больше всех голов на чемпионате мира по футболу 1954 года?", "rightAnswer":"Венгрия", wrongAnswer: ["Италия","Бразилия","Германия"], "answerText":"Сборная Венгрии забила 27 голов, больше всех на чемпионате.", "wrongAnswerPatterns":["* ($quizItaly/$quizBrazil/$quizGermany/(не/или) (венгры/венгрия)) *"], "rightAnswerPatterns":["* (венгры/венгрия) *"]}
11;11;{"question":"Какая из африканских стран первой приняла участие в чемпионате мира по футболу?", "rightAnswer":"Египет", wrongAnswer: ["Сенегал","Камерун","Нигерия"], "answerText":"Египет – первой из африканских стран стала участвовать в чемпионатах мира по футболу.", "wrongAnswerPatterns":["* (сенегал*/камерун*/нигер*/(не/или) (египтян*/египет/фараон*)) *"], "rightAnswerPatterns":["* (египтян*/египет/фараон*) *"]}
12;12;{"question":"Сколько лет было Пеле, когда он дебютировал в составе сборной Бразилии в 1958 году?", "rightAnswer":"17 лет", wrongAnswer: ["16 лет","18 лет","19 лет"], "answerText":"Пеле дебютировал в составе сборной в возрасте 17 лет.", "wrongAnswerPatterns":["* (шест*/восем*/девят*/16/18/19/(не/или) (17/семьн*/семна*)) [лет] *"], "rightAnswerPatterns":["* (17/семьн*/семна*) *"], "answerIsNumber":"17"}
13;13;{"question":"В 1978 году сборная Аргентины стала пятой командой, выигравшей чемпионат мира на своей территории. Назовите остальные четыре.", "rightAnswer":"Уругвай, Италия, Англия и Германия", wrongAnswer: ["Англия, Бразилия, Франция и Германия","Уругвай, Бразилия, Англия и Германия","Италия, Германия, Англия и Франция"], "answerText":"Предыдущие четыре сборные это: Уругвай, Италия, Англия и Германия", "wrongAnswerPatterns":["* ({англ* * $quizBrazil франц* (герман*/немц*)} |{англ* * $quizBrazil $quizUruguay (герман*/немц*)} | {англ* * итал* франц* (герман*/немц*)}) *"], "rightAnswerPatterns":["* {англ* * итал* $quizUruguay (герман*/немц*)} *"]}
