1;Богдан 2310,2310;{"name":"Богдан 2310","brand_id":1,"class":["B-класс"],"body_style":["2 дв. фургон"],"chassis_configuration":"4 × 2","production_years":[{"start": 2009, "end": 2014}],"class_unprocessed":"малый"}
2;2312,Богдан 2312;{"name":"Богдан 2312","brand_id":1,"class":["B-класс"],"production_years":[{"start": 2012, "end": 2014}],"class_unprocessed":"малый"}
3;ВАЗ 1111Е,1111Е;{"name":"ВАЗ 1111Е","brand_id":2,"class":["A-класс"],"body_style":["3 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 1994}],"class_unprocessed":"Особо малый"}
4;Гноме,ЛАДА Гноме,Гном,Лада Гном;{"name":"LADA Gnome","brand_id":139,"class":["B-класс"],"body_style":["3 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 1992}],"class_unprocessed":"Городской автомобиль"}
5;Ельф,Елф,ЛАДА Елф,ЛАДА Ельф,Элф,ЛАДА Элф,ЛАДА Эльф;{"name":"LADA Elf","brand_id":139,"class":["B-класс"],"body_style":["2 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 1991}],"class_unprocessed":"Городской автомобиль"}
6;1801,ВАЗ-1801;{"name":"ВАЗ-1801","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1984}]}
7;копейка,Лада 1200,Лада 1200С,2101,ВАЗ-2101 Жигули,Лада 1300;{"name":"ВАЗ-2101 Жигули","brand_id":146,"class":["Малый 1 группы"],"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1970, "end": 1988}],"class_unprocessed":"Малый первой группы"}
8;2102,Лада 1200 Комби,Лада 1300 Комби,Лада 1500 Комби,ВАЗ-2102 Жигули;{"name":"ВАЗ-2102 Жигули","brand_id":146,"body_style":["5 дв. универсал"],"chassis_configuration":"4 × 2","production_years":[{"start": 1971, "end": 1986}]}
9;2103,ВАЗ-2103 Жигули;{"name":"ВАЗ-2103 Жигули","brand_id":146,"class":["Малый 2 группы"],"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1972, "end": 1984}],"class_unprocessed":"малый II группы"}
10;Рива Бреак,Рива Брэйк,Нова Комби,ЕСтэйт,ЭСтэйт,2104,Лада ЕСтэйт,Лада ЭСтэйт,ЛАДА 2104,Лада Нова Комби,Лада Рива Бреак,Лада Рива Брэйк;{"name":"Lada Nova Combi","brand_id":139,"class":["Малый 3 группы"],"body_style":["5 дв. универсал"],"chassis_configuration":"4 × 2","production_years":[{"start": 1984, "end": 2012}],"class_unprocessed":"малый III группы"}
11;ВАЗ-2105 Жигули,ЛАДА 2105,Классика,2105,Лада Салун;{"name":"ВАЗ-2105 Жигули","brand_id":146,"class":["B-класс"],"body_style":["4 дв. седан"],"production_years":[{"start": 1979, "end": 2010}],"class_unprocessed":"B-класс"}
12;ВАЗ-2106,2106;{"name":"ВАЗ-2106","brand_id":2,"class":["Малый 3 группы"],"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1976, "end": 2006}],"class_unprocessed":"Малый III группы"}
13;1500,Лада 1500,Лада Сигнет,ЛАДА 2107,Нова,Лада Нова,Рива,Лада Рива,2107,Сигнет;{"name":"Lada Signet","brand_id":139,"class":["Малый 2 группы"],"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1982, "end": 1991}, {"start": 1991, "end": 2012}, {"start": 2003, "end": 2012}, {"start": 2006, "end": 2014}],"class_unprocessed":"Малый II группы"}
14;ВАЗ-2108,2108;{"name":"ВАЗ-2108","brand_id":2,"class":["Малый 2 группы"],"body_style":["3 дв. хэтчбэк"],"chassis_configuration":"4 × 2 / 2","production_years":[{"start": 1984, "end": 2004}, {"start": 2004, "end": 2014}],"class_unprocessed":"малый II"}
15;ВАЗ-2109,2109;{"name":"ВАЗ-2109","brand_id":2,"class":["Малый 2 группы"],"body_style":["5 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 1987, "end": 2004}, {"start": 2004, "end": 2011}, {"start": 1991, "end": 1996}, {"start": 1995, "end": 1998}],"class_unprocessed":"Малый II группы"}
16;ЛАДА Самара,Самара,тринашка;{"name":"LADA Samara","brand_id":139,"class":["B-класс"],"body_style":["3 дв. хэтчбэк","5 дв. хэтчбэк"],"production_years":[{"start": 2004, "end": 2013}, {"start": 2001, "end": 2013}],"class_unprocessed":"B-сегмент"}
17;Самара-2,Лада Самара-2,пятнашка;{"name":"Lada Samara-2","brand_id":139,"class":["Малый 2 группы"],"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1997, "end": 2012}],"class_unprocessed":"Малый 2 группы"}
18;ВАЗ-2120,2120;{"name":"ВАЗ-2120","brand_id":2,"class":["Минивэн"],"body_style":["4 дв. минивэн"],"chassis_configuration":"4 × 4","production_years":[{"start": 1998, "end": 2006}],"class_unprocessed":"М"}
19;2122,ВАЗ-2122 Река,600,Река;{"name":"ВАЗ-2122 Река","brand_id":2,"body_style":["5 дв. хэтчбэк"],"chassis_configuration":"4 × 4","production_years":[{"start": 1976, "end": 1987}]}
20;ВАЗ-2151 Неоклассика,2151,Неоклассика;{"name":"ВАЗ-2151 Неоклассика","brand_id":2,"class":["B-класс"],"body_style":["5 дв. универсал"],"production_years":[{"start": 2002}],"class_unprocessed":"B"}
21;ВАЗ-2801,2801;{"name":"ВАЗ-2801","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1975}]}
22;ВАЗ 2802-02,2802-02;{"name":"ВАЗ 2802-02","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 1984}]}
23;ВАЗ-10031,10031,Бронтокар;{"name":"ВАЗ-10031","brand_id":2,"chassis_configuration":"4 × 2","production_years":[{"start": 2002}]}
24;Дива,Самара,Сагона,Самара Салун,ВАЗ-21099,Спутник,Сабле;{"name":"ВАЗ-21099","brand_id":2,"body_style":["4 дв. седан"],"chassis_configuration":"4 × 2","production_years":[{"start": 1990, "end": 2004}, {"start": 2004, "end": 2011}]}
25;ЛАДА Гольф,Гольф,ЛАДА Голф,Голф;{"name":"LADA Golf","brand_id":139,"class":["Гольф-кар"],"chassis_configuration":"4 × 2","production_years":[{"start": 1999, "end": 2001}],"class_unprocessed":"Машина для гольфа"}
26;ЛАДА Карат,Карат,Лада-2161 Карат,2161;{"name":"Lada-2161 Karat","brand_id":139,"class":["B-класс"],"body_style":["5 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 2002}],"class_unprocessed":"Малый"}
27;Рикша,ЛАДА Рикша;{"name":"LADA Ricksha","brand_id":139,"class":["Гольф-кар"],"chassis_configuration":"4 × 2","production_years":[{"start": 2002}],"class_unprocessed":"Машина для гольфа"}
28;Марш-1,ЛАДА-БРОНТО 1922;{"name":"Марш-1","brand_id":2,"class":["Внедорожник"],"body_style":["3 дв. универсал"],"production_years":[{"start": 1996}],"class_unprocessed":"Вездеход"}
29;2131,ВАЗ-2131,Нива;{"name":"ВАЗ-2131","brand_id":2,"class":["Внедорожник"],"body_style":["3 дв. универсал","5 дв. универсал"],"chassis_configuration":"4 × 4","production_years":[{"start": 1977}],"class_unprocessed":"Повышенной проходимости второго класса"}
30;Кама,Тойма,ВАЗ-1111,Ока,Астро,Гном;{"name":"ВАЗ-1111","brand_id":2,"class":["A-класс"],"body_style":["3 дв. хэтчбэк"],"chassis_configuration":"4 × 2","production_years":[{"start": 1987, "end": 2008}],"class_unprocessed":"Особо малый"}
31;Лада Ока 2,Ока 2;{"name":"Lada Oka 2","brand_id":139,"class":["A-класс"],"body_style":["3 дв. хэтчбэк"],"production_years":[{"start": 2003, "end": 2004}],"class_unprocessed":"А (первый малый)"}
