1;Abu Dhabi;{"name":"Abu Dhabi", "country":"United Arab Emirates", "genCountry":"United Arab Emirates", "continent":"Eurasia", "continent_part":"Asia", "duplicateName" : "false", "facts":[], "complexity":"3"}
2;Abuja;{"name":"Abuja", "country":"Nigeria", "genCountry":"Nigeria", "continent":"Africa", "duplicateName" : "false", "facts":[], "complexity":"5"}
3;Addis Ababa;{"name":"Addis Ababa", "country":"Ethiopia", "genCountry":"Ethiopia", "continent":"Africa", "duplicateName" : "false", "facts":[], "complexity":"4"}
4;Accra;{"name":"Accra", "country":"Ghana", "genCountry":"Ghana", "continent":"Africa", "duplicateName" : "false", "facts":[], "complexity":"5"}
5;Algiers;{"name":"Algiers", "country":"Algeria", "genCountry":"Algeria", "continent":"Africa", "duplicateName" : "true", "facts":[], "complexity":"3"}
6;Amman;{"name":"Amman", "country":"Jordan", "genCountry":"Jordan", "continent":"Eurasia", "continent_part":"Asia", "duplicateName" : "false", "facts":[], "complexity":"4"}
7;Amsterdam;{"name":"Amsterdam", "country":"Netherlands", "genCountry":"Netherlands", "continent":"Eurasia", "continent_part":"Europe", "duplicateName" : "false", "facts":["The most popular transport in Amsterdam is bike.", "One of the tourist attractions in Amsterdam is the Cat Boat - a floating home for stray cats."], "complexity":"1"}
8;Andorra la Vella;{"name":"Andorra la Vella", "country":"Andorra", "genCountry":"Andorra", "continent":"Eurasia", "continent_part":"Europe", "duplicateName" : "false", "facts":[], "complexity":"4"}
9;Ankara;{"name":"Ankara", "country":"Turkey", "genCountry":"Turkey", "continent":"Eurasia", "continent_part":"Asia", "duplicateName" : "false", "facts":[], "complexity":"3"}
10;Antananarivo;{"name":"Antananarivo", "country":"Madagascar", "genCountry":"Madagascar", "continent":"Africa", "duplicateName" : "false", "facts":[], "complexity":"5"}
11;Apia;{"name":"Apia", "country":"Samoa", "genCountry":"Samoa", "continent":"Australia and Oceania", "duplicateName" : "false", "facts":[], "complexity":"5"}
12;Asmera;{"name":"Asmera", "country":"Eritrea", "genCountry":"Eritrea", "continent":"Africa", "duplicateName" : "false", "facts":[], "complexity":"5"}
13;Astana,Nur-Sultan,NurSultan;{"name":"Nur-Sultan", "country":"Kazakhstan", "genCountry":"Kazakhstan", "continent":"Eurasia", "continent_part":"Asia", "duplicateName" : "false", "facts":[], "complexity":"2"}
14;Asuncion;{"name":"Asuncion", "country":"Paraguay", "genCountry":"Paraguay", "continent":"South America", "duplicateName" : "false", "facts":[], "complexity":"5"}
15;Athens;{"name":"Athens", "country":"Greece", "genCountry":"Greece", "continent":"Eurasia", "continent_part":"Europe", "duplicateName" : "false", "facts":["Athens are thought to be the place where theatre was born."], "complexity":"1"}
